"","match_id_18char","match_length","net_sentiment","positive","negative","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"1","a1v2J0000027CWYQA2",5.5,33,49,16,14,32,10,28,23,16,10,112
"2","a1v2J0000027CWfQAM",8.5,179,220,41,13,255,13,12,57,26,10,202
"3","a1v2J0000027CWiQAM",6.9,37,46,9,8,41,0,2,38,0,7,12
"4","a1v2J0000027CWoQAM",7.2,65,79,14,13,54,11,14,57,21,16,185
"5","a1v2J0000027CWpQAM",7.4,270,300,30,16,150,8,13,109,21,47,324
"6","a1v2J0000027CWsQAM",6.2,33,35,2,2,25,0,7,24,2,6,35
"7","a1v2J0000027CWuQAM",6.4,293,311,18,7,205,0,7,156,5,75,285
"8","a1v2J0000027CWzQAM",7.8,244,351,107,9,349,12,6,246,91,71,176
"9","a1v2J0000027CX1QAM",6.2,29,42,13,13,33,5,15,22,21,1,35
"10","a1v2J0000027CX2QAM",6.5,253,295,42,0,166,0,14,133,31,53,267
"11","a1v2J0000027CX4QAM",31,333,838,505,460,445,69,90,254,133,43,630
"12","a1v2J0000027CXGQA2",5.5,16,24,8,8,17,0,13,8,4,5,26
"13","a1v2J0000027CXHQA2",3.2,1,5,4,0,2,0,0,0,4,1,8
"14","a1v2J0000027EaVQAU",4.5,1157,1311,154,110,1609,30,60,792,430,325,621
"15","a1v2J0000027GURQA2",10.4,816,962,146,47,867,24,51,768,80,203,730
"16","a1v2J0000027GVZQA2",57.8,2707,3080,373,122,2799,50,573,1746,226,936,2276
"17","a1v2J0000027HCqQAM",54,7164,7700,536,779,6883,214,599,6199,667,2963,5259
"18","a1v2J0000027HE3QAM",12.4,1781,2158,377,285,1350,142,303,1509,323,290,1405
"19","a1v2J0000027HExQAM",23.4,23146,23881,735,225,2636,102,205,1713,632,302,22950
"20","a1v2J0000027KBIQA2",15,202,250,48,40,163,16,44,89,19,36,814
"21","a1v2J0000027KBOQA2",19.2,139,251,112,104,311,9,69,90,84,34,277
"22","a1v2J0000027KBWQA2",4,13,19,6,3,19,0,4,9,2,10,14
"23","a1v2J0000027KBbQAM",9.8,86,105,19,15,62,5,6,76,12,46,80
"24","a1v2J0000027KBcQAM",9.1,5,102,97,38,58,0,6,23,60,1,89
"25","a1v2J0000027KBlQAM",28.9,103,125,22,0,137,0,5,85,23,81,378
"26","a1v2J0000027KBnQAM",38.2,140,199,59,3,303,4,14,132,57,71,575
"27","a1v2J0000027KBpQAM",12.2,103,139,36,10,225,3,0,64,48,48,264
"28","a1v2J0000027KBrQAM",22,109,238,129,115,257,45,127,158,120,97,258
"29","a1v2J0000027KBtQAM",65.5,3167,3364,197,104,3034,24,110,2035,132,949,2400
"30","a1v2J0000027KBuQAM",6.2,236,260,24,3,150,0,20,69,14,36,275
"31","a1v2J0000027KBwQAM",15.6,162,247,85,69,292,5,50,169,53,16,352
"32","a1v2J0000027KBxQAM",8.8,14,16,2,0,20,1,0,11,2,13,6
"33","a1v2J0000027KC0QAM",7.7,95,98,3,2,72,0,0,50,2,14,55
"34","a1v2J0000027KC1QAM",9.5,338,579,241,168,458,58,223,301,123,293,521
"35","a1v2J0000027KC2QAM",15.1,276,307,31,28,266,17,100,175,22,62,288
"36","a1v2J0000027KC4QAM",28.2,606,740,134,46,496,28,42,210,128,117,874
"37","a1v2J0000027KC5QAM",8.9,54,64,10,0,71,0,0,31,13,31,43
"38","a1v2J0000027KC6QAM",6.7,74,92,18,0,51,0,0,52,18,14,48
"39","a1v2J0000027KC7QAM",1,-2,1,3,0,3,0,0,0,2,0,1
"40","a1v2J0000027KC8QAM",26.2,128,151,23,10,216,10,10,112,43,70,143
"41","a1v2J0000027KC9QAM",10,48,153,105,93,168,5,29,81,29,1,201
"42","a1v2J0000027KCCQA2",5.6,8,10,2,0,13,0,0,9,0,6,10
"43","a1v2J0000027KCFQA2",21.6,22,115,93,75,121,39,73,80,93,30,135
"44","a1v2J0000027KCIQA2",18.7,298,506,208,38,500,26,31,293,218,112,463
"45","a1v2J0000027KCNQA2",17,4219,5124,905,449,3849,270,381,3044,847,1196,3871
"46","a1v2J0000027KCOQA2",12.4,367,458,91,58,565,13,16,145,14,54,563
"47","a1v2J0000027KCPQA2",27.2,347,438,91,58,350,29,32,277,114,105,430
"48","a1v2J0000027KCQQA2",1.2,-5,7,12,12,10,0,17,5,0,0,6
"49","a1v2J0000027KCRQA2",22,805,951,146,61,738,72,81,537,125,130,934
"50","a1v2J0000027KCVQA2",47.5,1212,2201,989,850,3431,44,92,533,156,183,3518
"51","a1v2J0000027KCWQA2",10.4,45,51,6,0,86,0,0,45,10,26,47
"52","a1v2J0000027KCXQA2",6.6,85,183,98,83,251,10,18,165,31,25,107
"53","a1v2J0000027KCZQA2",22.5,37,90,53,29,260,10,12,52,37,64,151
"54","a1v2J0000027KCaQAM",1.2,20,30,10,7,25,5,13,12,8,4,19
"55","a1v2J0000027KCcQAM",9.5,69,71,2,0,50,0,4,44,2,34,112
"56","a1v2J0000027KCjQAM",7.6,7,9,2,0,16,0,0,3,2,11,4
"57","a1v2J0000027KClQAM",27.5,66,75,9,4,79,3,7,62,4,18,39
"58","a1v2J0000027KCmQAM",27.1,-17,94,111,92,99,20,90,62,97,34,77
"59","a1v2J0000027KCoQAM",30.4,1269,1562,293,162,1274,44,164,1034,224,222,1440
"60","a1v2J0000027KVRQA2",31.4,16601,17047,446,284,19093,172,502,9368,743,7216,13138
"61","a1v2J0000027KmdQAE",9.4,32,33,1,0,33,0,1,29,0,4,14
"62","a1v2J0000027KmhQAE",18.7,169,200,31,20,257,6,8,120,17,54,141
"63","a1v2J0000027KmnQAE",10.8,89,96,7,2,83,0,9,64,6,34,125
"64","a1v2J0000027KmoQAE",5.7,37,65,28,12,164,10,12,14,14,11,77
"65","a1v2J0000027KmpQAE",8.9,16,25,9,6,18,0,4,21,4,5,13
"66","a1v2J0000027KmrQAE",12.4,-18,122,140,136,66,8,6,96,7,17,121
"67","a1v2J0000027KmsQAE",7.2,218,233,15,2,219,0,7,183,143,145,90
