"","matchid","mean_cadence","match_length"
"1","a1v2J0000027QvqQAE",47.6,8.1
"2","a1v2J0000027QMMQA2",47.4,8
"3","a1v2J000002ABC2QAO",43.6363636363636,16.2
"4","a1v2J0000027KnLQAU",57,28.8
"5","a1v2J0000029SQyQAM",72.05,49.9
"6","a1v2J0000028ko7QAA",63.9285714285714,30.9
"7","a1v2J0000027MFJQA2",38.5,10.4
"8","a1v2J0000028BHTQA2",40.1111111111111,12.6
"9","a1v2J0000027QN2QAM",47.8,8.3
"10","a1v2J0000028b3IQAQ",56.4736842105263,47.6
"11","a1v2J0000027PGnQAM",41.6666666666667,16.8
"12","a1v2J0000027QMtQAM",37,10.2
"13","a1v2J0000027PGeQAM",56.7333333333333,28.5
"14","a1v2J0000027ZDtQAM",39.6111111111111,23.9
"15","a1v2J0000028dHaQAI",68.0689655172414,67.4
"16","a1v2J0000027KBOQA2",46.8333333333333,19.2
"17","a1v2J0000027KBwQAM",45.4,15.6
"18","a1v2J000002AAqjQAG",67.3333333333333,7.4
"19","a1v2J0000027QvuQAE",60.3333333333333,6.6
"20","a1v2J0000027O6rQAE",48.8461538461538,21.6
"21","a1v2J0000028IusQAE",48.875,13.3
"22","a1v2J000002AAoEQAW",61.95,42.6
"23","a1v2J0000027QMvQAM",31.5,2.5
"24","a1v2J0000027OcdQAE",43.0909090909091,15.8
"25","a1v2J0000027MFeQAM",47.2,16
"26","a1v2J0000027PIGQA2",57,7.8
"27","a1v2J0000027vKcQAI",51.5625,29.2
"28","a1v2J0000027LfzQAE",48.3846153846154,21.1
"29","a1v2J0000027O6LQAU",54.1333333333333,28.5
"30","a1v2J0000027KC4QAM",52.1428571428571,28.2
"31","a1v2J0000027yFzQAI",74.1428571428571,88.9
"32","a1v2J000002AFZnQAO",77.5277777777778,97.1
"33","a1v2J0000027CWfQAM",43.5,8.5
"34","a1v2J0000027CWpQAM",53,7.4
"35","a1v2J000002AB9TQAW",56.0666666666667,30.8
"36","a1v2J0000028FQ1QAM",51,5.6
"37","a1v2J000002ABLMQA4",26.1111111111111,8.4
"38","a1v2J0000028eZMQAY",44.0714285714286,20.8
"39","a1v2J0000028KwpQAE",76.5,77.1
"40","a1v2J0000027rqEQAQ",52.2857142857143,28.3
"41","a1v2J000002AC7FQAW",42,17
"42","a1v2J0000027PGQQA2",41.8333333333333,17
"43","a1v2J00000284cZQAQ",30.375,8.3
"44","a1v2J000002uQO0QAM",68,34.3
"45","a1v2J0000028lBhQAI",29.5454545454545,11.3
"46","a1v2J0000028YysQAE",47.5,13.3
"47","a1v2J0000027sKhQAI",16.3333333333333,2.3
"48","a1v2J0000027KopQAE",52.3333333333333,28.2
"49","a1v2J0000027QMHQA2",52.3529411764706,33
"50","a1v2J0000028DKVQA2",70.1111111111111,66.9
"51","a1v2J0000027NLiQAM",81.2,54.1
"52","a1v2J0000027sKrQAI",78,76.9
"53","a1v2J000002ABZaQAO",56.3888888888889,36.8
"54","a1v2J0000027Kp0QAE",70.95,49.6
"55","a1v2J000002AAsXQAW",65,2.6
"56","a1v2J0000027CWiQAM",65.6666666666667,6.9
"57","a1v2J0000027sKnQAI",40.2222222222222,12.8
"58","a1v2J0000028DLvQAM",93,86.1
"59","a1v2J0000027OaVQAU",40.75,11
"60","a1v2J0000027CX4QAM",53.75,31
"61","a1v2J0000028BuFQAU",39.8571428571429,18.6
"62","a1v2J0000028LgeQAE",54.2,41
"63","a1v2J0000027qLDQAY",70.8387096774194,73.2
"64","a1v2J0000027Lh0QAE",53.5,7.8
"65","a1v2J0000027KmwQAE",40.3846153846154,18
"66","a1v2J0000027Po5QAE",42.1666666666667,8.3
"67","a1v2J0000027CWzQAM",53.75,7.8
"68","a1v2J0000027rH9QAI",24.6,4.3
"69","a1v2J0000028yMKQAY",55.2222222222222,33.7
"70","a1v2J0000027MFgQAM",39.8461538461538,18
"71","a1v2J0000027LQPQA2",51.75,7.7
"72","a1v2J0000027LgtQAE",48.5,7.3
"73","a1v2J0000028H2QQAU",74.8235294117647,93.5
"74","a1v2J0000027eVVQAY",41.6363636363636,16.2
"75","a1v2J0000028F4pQAE",64.75,18
"76","a1v2J0000027nKvQAI",54,25.3
"77","a1v2J000002ABIAQA4",82.5555555555556,51.6
"78","a1v2J0000027eVRQAY",65.625,35.7
"79","a1v2J0000027vAFQAY",62.8,31.4
"80","a1v2J0000027mE8QAI",50.1428571428571,24
"81","a1v2J0000028HAZQA2",80.3333333333333,97.2
"82","a1v2J0000028DLzQAM",22.3333333333333,5.3
"83","a1v2J0000027PGhQAM",45.1538461538462,19.9
"84","a1v2J0000027LfhQAE",51.3333333333333,5.6
"85","a1v2J0000028aYOQAY",26.8461538461538,11.8
"86","a1v2J00000290crQAA",49.6923076923077,50.9
"87","a1v2J0000028Gy6QAE",44.9444444444444,32.2
"88","a1v2J000002ADeWQAW",76.3157894736842,52.9
"89","a1v2J0000027O64QAE",59.5238095238095,41.5
"90","a1v2J0000027KoqQAE",32,1.4
"91","a1v2J0000027PHmQAM",60.4666666666667,31.7
"92","a1v2J0000027LiGQAU",46.2307692307692,20.2
"93","a1v2J00000289qYQAQ",83.0434782608696,67.3
"94","a1v2J0000028Lj5QAE",88.6538461538462,96.2
"95","a1v2J0000027CWuQAM",46.75,6.4
"96","a1v2J000002ABBaQAO",51,32.2
"97","a1v2J0000027MHDQA2",48.9375,28.1
"98","a1v2J0000027u44QAA",48.2307692307692,26.3
"99","a1v2J000002ADgWQAW",34.25,18.4
"100","a1v2J0000027vBfQAI",25.1428571428571,12.4
"101","a1v2J0000027wZ0QAI",66,57.8
"102","a1v2J0000027VOIQA2",24.5,3.9
"103","a1v2J0000028WQjQAM",26.9230769230769,12.2
"104","a1v2J0000028z5QQAQ",126.352941176471,77.3
"105","a1v2J0000027ZqdQAE",65.6666666666667,53.5
"106","a1v2J0000028FzFQAU",44,11
"107","a1v2J00000283kWQAQ",72.7666666666667,88.2
"108","a1v2J0000028aYRQAY",34.5,2.8
"109","a1v2J0000027x4MQAQ",56.4666666666667,29.2
"110","a1v2J0000028bQlQAI",64.6428571428571,53.2
"111","a1v2J0000027KBuQAM",60.6666666666667,6.2
"112","a1v2J0000027QvdQAE",37.25,15
"113","a1v2J000002ABZlQAO",45.0909090909091,16.6
"114","a1v2J0000028CWpQAM",31.2307692307692,13.6
"115","a1v2J0000027QveQAE",42.7272727272727,15.9
"116","a1v2J0000027QvJQAU",37.8333333333333,7.5
"117","a1v2J0000028GHtQAM",28.7692307692308,13.1
"118","a1v2J0000027rGFQAY",67.6551724137931,72.8
"119","a1v2J0000027xDVQAY",33.7857142857143,16.2
"120","a1v2J0000027tEqQAI",29.375,16.2
"121","a1v2J0000027tEgQAI",77.56,69.2
"122","a1v2J0000027panQAA",56,35.2
"123","a1v2J00000289MOQAY",33.2142857142857,15.5
"124","a1v2J0000028bUwQAI",35.9,12.7
"125","a1v2J0000028oorQAA",21,2.5
"126","a1v2J0000027waPQAQ",36.7,12.5
"127","a1v2J0000027Kn7QAE",40.9,14.8
"128","a1v2J000002ACF7QAO",41,27.1
"129","a1v2J0000027QOaQAM",54.9285714285714,27.1
"130","a1v2J0000027KBIQA2",37.25,15
"131","a1v2J0000027CXGQA2",81,5.5
"132","a1v2J0000027LguQAE",46.75,27.2
"133","a1v2J0000027vAsQAI",66.85,45.5
"134","a1v2J0000027LgRQAU",80.5,5.5
"135","a1v2J0000027CWYQA2",53.6666666666667,5.5
"136","a1v2J0000027u3qQAA",70.4583333333333,62.6
"137","a1v2J0000028Au2QAE",36.5,5.3
"138","a1v2J0000027m0mQAA",58.5,12.4
"139","a1v2J0000028WUAQA2",28.75,4
"140","a1v2J0000027sGaQAI",43.3333333333333,5.5
"141","a1v2J0000028BzeQAE",48.8333333333333,10.6
"142","a1v2J0000027MFZQA2",34.7,11.9
"143","a1v2J0000027LR6QAM",41.5,5.9
"144","a1v2J0000027LgqQAE",40.25,5.8
"145","a1v2J000002ABZ5QAO",34.7,11.9
"146","a1v2J0000027O6qQAE",41.5,19.6
"147","a1v2J0000028MCfQAM",38.2222222222222,11.9
"148","a1v2J0000028BzRQAU",43.7857142857143,21.4
"149","a1v2J0000027KCVQA2",59.625,47.5
"150","a1v2J0000027LgPQAU",34.5,7.2
"151","a1v2J0000027Ns5QAE",88.4761904761905,75.8
"152","a1v2J0000028Fz5QAE",30.5,6.7
"153","a1v2J0000027CWoQAM",41.2,7.2
"154","a1v2J0000027w0sQAA",30.75,9.3
"155","a1v2J0000028EpmQAE",8,0.7
"156","a1v2J0000028NQxQAM",47.0714285714286,22.5
"157","a1v2J0000028pRvQAI",27.3333333333333,9
"158","a1v2J0000027UpqQAE",71.9487179487179,95.6
"159","a1v2J0000027QOrQAM",52.2777777777778,33.2
"160","a1v2J000002AB0QQAW",49.4,26.7
"161","a1v2J00000290XHQAY",36.3333333333333,19
"162","a1v2J00000289NBQAY",89.4705882352941,52.5
"163","a1v2J0000028ootQAA",23.5714285714286,6.2
