match_id_18char,big_race_1,big_race_2,big_race_3,little_race_1,little_race_2,little_race_3,match_length,match_count,alignment
a1v2J0000028pRvQAI,Black or African American,White or Caucasian,,Black or African American,NA,NA,9,1,0.3333333333333333
a1v2J000002uR0JQAU,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,46.1,1,0.3333333333333333
a1v2J0000027NsOQAU,Asian,,NA,Black or African American, White or Caucasian,NA,6.2,1,0.3333333333333333
a1v2J0000027dtOQAQ,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,85.6,1,0.3333333333333333
a1v2J0000028enKQAQ,White or Caucasian,,NA,Hispanic,NA,NA,28.3,2,0.6666666666666666
a1v2J000002ACUBQA4,White or Caucasian,,NA,Hispanic,NA,NA,13.1,2,0.6666666666666666
a1v2J000002uTnjQAE,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,71,1,0.3333333333333333
a1v2J0000027tNzQAI,White or Caucasian,,NA,White or Caucasian,NA,NA,64.8,3,1
a1v2J0000028PciQAE,White or Caucasian,,NA,White or Caucasian,NA,NA,68.6,3,1
a1v2J000002esTYQAY,White or Caucasian,,NA,Black or African American,NA,NA,13.5,2,0.6666666666666666
a1v2J0000028GltQAE,White or Caucasian,,NA,White or Caucasian,NA,NA,8,3,1
a1v2J000002uRlgQAE,Black or African American,,NA,Hispanic,NA,NA,2.1,2,0.6666666666666666
a1v2J0000027UAeQAM,Black or African American,,NA,Black or African American,NA,NA,24.3,3,1
a1v2J0000027ogFQAQ,White or Caucasian,,NA,Hispanic,NA,NA,64.1,2,0.6666666666666666
a1v2J0000028DktQAE,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,36.8,1,0.3333333333333333
a1v2J000002uUBsQAM,White or Caucasian,,NA,Black or African American,NA,NA,37.2,2,0.6666666666666666
a1v2J0000028MtYQAU,White or Caucasian,,NA,White or Caucasian,NA,NA,7.7,3,1
a1v2J0000028FvmQAE,White or Caucasian,,NA,Hispanic,NA,NA,85.4,2,0.6666666666666666
a1v2J00000281ZgQAI,White or Caucasian,,NA,Black or African American,NA,NA,13.9,2,0.6666666666666666
a1v2J000002ACf1QAG,White or Caucasian,,NA,Black or African American,NA,NA,31.1,2,0.6666666666666666
a1v2J0000027tYAQAY,White or Caucasian,,NA,Black or African American,NA,NA,2.5,2,0.6666666666666666
a1v2J000002fJvrQAE,Middle Eastern or North African,,NA,Black or African American,NA,NA,3.9,2,0.6666666666666666
a1v2J000003tjssQAA,White or Caucasian,,NA,Black or African American,NA,NA,30.1,2,0.6666666666666666
a1v2J0000028rRMQAY,Black or African American,,NA,Black or African American,NA,NA,27.5,3,1
a1v2J0000027ViNQAU,White or Caucasian,,NA,Other,NA,NA,44.4,2,0.6666666666666666
a1v2J000003m4NhQAI,White or Caucasian,,NA,Black or African American,NA,NA,27.5,2,0.6666666666666666
a1v2J000002ADm5QAG,Black or African American,,NA,Black or African American,NA,NA,21.2,3,1
a1v2J0000028FQ1QAM,White or Caucasian,,NA,Other,NA,NA,5.6,2,0.6666666666666666
a1v2J0000027XXAQA2,American Indian or Alaska Native,,NA,White or Caucasian,NA,NA,63.9,2,0.6666666666666666
a1v2J0000027ui5QAA,White or Caucasian,,NA,Black or African American,NA,NA,16,2,0.6666666666666666
a1v2J000002852lQAA,White or Caucasian,,NA,White or Caucasian, Hispanic,NA,10.1,2,0.6666666666666666
a1v2J0000028MCPQA2,White or Caucasian,,NA,Black or African American,NA,NA,13.4,2,0.6666666666666666
a1v2J00000284lkQAA,White or Caucasian,,NA,White or Caucasian,NA,NA,18.1,3,1
a1v2J0000028HBzQAM,Black or African American,,NA,Black or African American,NA,NA,44.1,3,1
a1v2J0000028f1UQAQ,White or Caucasian,,NA,Black or African American,NA,NA,15.2,2,0.6666666666666666
a1v2J000002AFgbQAG,Other,,NA,Black or African American,NA,NA,30.1,2,0.6666666666666666
a1v2J00000285GPQAY,Black or African American,,NA,Black or African American,NA,NA,84.2,3,1
a1v2J0000028BTsQAM,White or Caucasian,,NA,Black or African American,NA,NA,59.1,2,0.6666666666666666
a1v2J0000028f5wQAA,White or Caucasian,,NA,American Indian or Alaska Native,NA,NA,8.6,2,0.6666666666666666
a1v2J000002AEWgQAO,White or Caucasian,,NA,Hispanic,NA,NA,15.6,2,0.6666666666666666
a1v2J0000028TBiQAM,White or Caucasian,,NA,Black or African American,NA,NA,66.4,2,0.6666666666666666
a1v2J0000038WA9QAM,Black or African American,,NA,Black or African American,NA,NA,18.3,3,1
a1v2J0000027yFzQAI,White or Caucasian,,NA,Black or African American, White or Caucasian,NA,88.9,1,0.3333333333333333
