,Match ID 18Char,Big County,Big State,Big Zip,Big: Military,Big Hmong,Big Nordic,Big Chinese,Big Arabic,Big German,Big Persian,"Big AfricanLanguages(Swahili,Bantu)",Big Creole,Big French,Big Korean,Big Portuguese,Big Asian:Other,Big Hebrew,Big NoPreference,Big AmericanSignLanguage,Big Russian,"Big Indian(Hindi,Punjabi)",Big Spanish,Big Italian,Big Turkish,Big Japanese,Big English,Big Somali,"Big EasternEuropean(Czech,Slovak)",Big Languages 1,Big Languages 2,Big BlackorAfricanAmerican,Big MiddleEasternorNorthAfrican,Big Asian,Big PacificIslander-Other,Big Asian-Other,Big Hispanic,Big Hispanic-OtherLatinxorSpanishorigin,Big Prefernottosay,Big Other,Big Asian-Indian,Big AmericanIndianorAlaskaNative,Big WhiteorCaucasian,Big PacificIslander-NativeHawaiian,Big Asian-Chinese,Big Contact: Former Big/Little,Big Weekends,Big Morning,Big Afternoon,Big Evening,Little BlackorAfricanAmerican,Little Hispanic-PuertoRican,Little Asian,Little Asian-Other,Little Asian-Vietnamese,Little Hispanic,Little Hispanic-OtherLatinxorSpanishorigin,Little Other,Little AmericanIndianorAlaskaNative,Little WhiteorCaucasian,"Little Hispanic-Mexican,MexicanAmerican,Chicano",Little County,Little State,Little Zip,Big Home = Little Home,Same County,Same State,Same Zip,Has Rationale for Match
0,a1v2J0000028pRvQAI,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,1,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,1,False
1,a1v2J000002uR0JQAU,Washington,MN,27163.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Other,MN,27163.0,0,0,1,1,True
2,a1v2J0000027NsOQAU,Ramsey,MN,27123.0,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Other,MN,27003.0,0,0,1,0,False
3,a1v2J0000027dtOQAQ,Hennepin,MN,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Other,MN,27003.0,0,0,1,0,True
4,a1v2J0000028enKQAQ,Ramsey,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Other,MN,27163.0,0,0,1,0,True
5,a1v2J000002ACUBQA4,Anoka,MN,27003.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Other,MN,27003.0,0,0,1,1,True
6,a1v2J000002uTnjQAE,Hennepin,MN,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Stokes;Surry,Other,27053.0,0,0,0,0,True
7,a1v2J0000027tNzQAI,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Stokes;Surry,Other,27053.0,0,0,0,1,False
8,a1v2J0000028PciQAE,Ramsey,MN,27123.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Other,MN,27163.0,0,0,1,0,True
9,a1v2J000002esTYQAY,Stokes;Surry,Other,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Other,MN,27003.0,0,0,0,0,True
10,a1v2J0000028GltQAE,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Stokes;Surry,Other,27053.0,0,0,0,1,False
11,a1v2J000002uRlgQAE,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Other,MN,,0,0,1,0,True
12,a1v2J0000027UAeQAM,Ramsey,MN,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Other,MN,27123.0,0,0,1,0,True
13,a1v2J0000027ogFQAQ,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Spanish,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,1,True
14,a1v2J0000028DktQAE,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Other,MN,27003.0,0,0,1,0,True
15,a1v2J000002uUBsQAM,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,1,True
16,a1v2J0000028MtYQAU,Ramsey,MN,27123.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Other,MN,27123.0,0,0,1,1,False
17,a1v2J0000028FvmQAE,Hennepin,MN,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,0,True
18,a1v2J00000281ZgQAI,Stokes;Surry,Other,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,1,1,1,False
19,a1v2J000002ACf1QAG,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,1,False
20,a1v2J0000027tYAQAY,Washington,MN,27163.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,0,True
21,a1v2J000002fJvrQAE,Other,MN,27003.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,0,True
22,a1v2J000003tjssQAA,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,1,True
23,a1v2J0000028rRMQAY,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Other,MN,27123.0,0,0,1,0,True
24,a1v2J0000027ViNQAU,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,1,True
25,a1v2J000003m4NhQAI,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Other,MN,27123.0,0,0,1,0,True
26,a1v2J000002ADm5QAG,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,1,True
27,a1v2J0000028FQ1QAM,Stearns,MN,27145.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,0,False
28,a1v2J0000027XXAQA2,Wright,MN,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Other,MN,27037.0,0,0,1,0,False
29,a1v2J0000027ui5QAA,Hennepin,MN,27053.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,1,True
30,a1v2J000002852lQAA,Dakota,MN,27037.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Other,MN,27037.0,0,0,1,1,True
31,a1v2J0000028MCPQA2,Anoka,MN,27003.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,0,True
32,a1v2J00000284lkQAA,Ramsey,MN,27123.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,0,0,0,0,0,0,0,0,0,0,0,1,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Other,MN,27123.0,0,0,1,1,True
33,a1v2J0000028HBzQAM,Scott,MN,27139.0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NoPreference,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stokes;Surry,Other,27053.0,0,0,0,0,True
