Match ID 18Char,Activation_Month
a1v2J0000028pRvQAI,3
a1v2J000002uR0JQAU,4
a1v2J0000027NsOQAU,3
a1v2J0000027dtOQAQ,1
a1v2J0000028enKQAQ,4
a1v2J000002ACUBQA4,3
a1v2J000002uTnjQAE,7
a1v2J0000027tNzQAI,3
a1v2J0000028PciQAE,10
a1v2J000002esTYQAY,5
a1v2J0000028GltQAE,3
a1v2J000002uRlgQAE,10
a1v2J0000027UAeQAM,9
a1v2J0000027ogFQAQ,2
a1v2J0000028DktQAE,10
a1v2J000002uUBsQAM,1
a1v2J0000028MtYQAU,3
a1v2J0000028FvmQAE,1
a1v2J00000281ZgQAI,4
a1v2J000002ACf1QAG,4
a1v2J0000027tYAQAY,9
a1v2J000002fJvrQAE,6
a1v2J000003tjssQAA,8
a1v2J0000028rRMQAY,7
a1v2J0000027ViNQAU,10
a1v2J000003m4NhQAI,5
a1v2J000002ADm5QAG,1
a1v2J0000028FQ1QAM,1
a1v2J0000027XXAQA2,9
a1v2J0000027ui5QAA,11
a1v2J000002852lQAA,11
a1v2J0000028MCPQA2,6
a1v2J00000284lkQAA,3
a1v2J0000028HBzQAM,6
a1v2J0000028f1UQAQ,4
a1v2J000002AFgbQAG,6
a1v2J00000285GPQAY,2
a1v2J0000028BTsQAM,6
a1v2J0000028f5wQAA,3
a1v2J000002AEWgQAO,4
a1v2J0000028TBiQAM,2
a1v2J0000038WA9QAM,9
a1v2J0000027yFzQAI,1
a1v2J0000028elqQAA,4
a1v2J0000027Yo4QAE,1
a1v2J0000027vAsQAI,2
a1v2J0000027bhcQAA,1
a1v2J0000027aW3QAI,5
a1v2J0000027b6OQAQ,6
a1v2J0000028DERQA2,5
a1v2J0000028IusQAE,1
a1v2J000002AF8tQAG,6
a1v2J00000283VbQAI,8
a1v2J0000028AldQAE,3
a1v2J0000038CVBQA2,7
a1v2J00000284cZQAQ,1
a1v2J0000028SvNQAU,7
a1v2J0000028MX5QAM,9
a1v2J000002uRJ9QAM,6
a1v2J0000028UxaQAE,8
a1v2J0000027tYMQAY,6
a1v2J0000028ItJQAU,3
a1v2J0000027ynVQAQ,12
a1v2J000002eh53QAA,7
a1v2J0000028BuFQAU,2
a1v2J000002811EQAQ,3
a1v2J0000028LzbQAE,2
a1v2J0000027HE3QAM,3
a1v2J0000028JASQA2,4
a1v2J0000027w0sQAA,2
a1v2J0000028CKWQA2,8
a1v2J00000285eZQAQ,8
a1v2J0000028eSkQAI,5
a1v2J000002uU92QAE,11
a1v2J0000028ooUQAQ,3
a1v2J0000028As5QAE,1
a1v2J000002uSrAQAU,11
a1v2J000002egBZQAY,6
a1v2J000002fKriQAE,6
a1v2J000002ABLMQA4,1
a1v2J0000028ko7QAA,1
a1v2J0000027c62QAA,7
a1v2J00000286ZSQAY,7
a1v2J0000028ZYMQA2,7
a1v2J0000028MSyQAM,6
a1v2J000002uSlRQAU,6
a1v2J0000028ZWeQAM,4
a1v2J0000028nYNQAY,8
a1v2J00000282baQAA,4
a1v2J0000039wUlQAI,1
a1v2J0000028evXQAQ,4
a1v2J00000289yPQAQ,7
a1v2J0000028sALQAY,6
a1v2J0000028iaKQAQ,12
a1v2J000002egSuQAI,4
a1v2J0000038u6iQAA,10
a1v2J0000028e4YQAQ,5
a1v2J00000285ICQAY,5
a1v2J000002ADeWQAW,2
a1v2J0000028nu7QAA,8
a1v2J0000028QIaQAM,12
a1v2J0000027uilQAA,2
a1v2J0000028E3GQAU,8
a1v2J0000027sUQQAY,6
a1v2J00000285A9QAI,7
a1v2J000002859PQAQ,8
a1v2J000002807EQAQ,5
a1v2J0000027hlxQAA,11
a1v2J0000027rQ2QAI,6
a1v2J000003L91zQAC,10
a1v2J0000028lgDQAQ,8
a1v2J00000287MxQAI,12
a1v2J000002fNSHQA2,6
a1v2J0000027WkRQAU,7
a1v2J0000027u44QAA,2
a1vHt000004fbHkIAI,11
a1v2J0000041cjGQAQ,10
