Match ID 18Char,Little ID,Big ID,Big Days Acceptance to Match,Big Days Interview to Acceptance,Big Days Interview to Match,Big Days Approved to Match,Days Big Assesment Uploaded to Match,Big Days Contact Created to Match,Big Days Enrollment to Match,Days Match Activation to Closure Meeting Date,Days Little Acceptance to Match Activation Date,Days Little Application Recieved to Match Activation Date,Days Little Interview to Match Activation Date,is_not_NA_Big Days Acceptance to Match,is_not_NA_Big Days Interview to Acceptance,is_not_NA_Big Days Interview to Match,is_not_NA_Big Days Approved to Match,is_not_NA_Days Big Assesment Uploaded to Match,is_not_NA_Big Days Contact Created to Match,is_not_NA_Big Days Enrollment to Match,is_not_NA_Days Match Activation to Closure Meeting Date,is_not_NA_Days Little Acceptance to Match Activation Date,is_not_NA_Days Little Application Recieved to Match Activation Date,is_not_NA_Days Little Interview to Match Activation Date,CarAccess_NA,CarAccess_0_No,CarAccess_Yes,Marital_NA,Marital_Single,Marital_Married,Marital_Divorced,Marital_Other,Marital_LivingWithPartner,Marital_Separated,Marital_DomesticPartner,Marital_Widowed,Enroll_NA,Enroll_CB,Enroll_BSW,Enroll_CityWorks,Enroll_SBCollege,Enroll_SBAdult,ReEnroll_NA.x,ReEnroll_Yes.x,ReEnroll_No.x,big_interests_isna,Days Match Activation to Note Completion avg,Successful Match,Big Hmong,Big Nordic,Big Chinese,Big Arabic,Big German,Big Persian,"Big AfricanLanguages(Swahili,Bantu)",Big Creole,Big French,Big Korean,Big Portuguese,Big Asian:Other,Big Hebrew,Big NoPreference,Big AmericanSignLanguage,Big Russian,"Big Indian(Hindi,Punjabi)",Big Spanish,Big Italian,Big Turkish,Big Japanese,Big English,Big Somali,"Big EasternEuropean(Czech,Slovak)",Big BlackorAfricanAmerican,Big MiddleEasternorNorthAfrican,Big Asian,Big PacificIslander-Other,Big Asian-Other,Big Hispanic,Big Hispanic-OtherLatinxorSpanishorigin,Big Prefernottosay,Big Other,Big Asian-Indian,Big AmericanIndianorAlaskaNative,Big WhiteorCaucasian,Big PacificIslander-NativeHawaiian,Big Asian-Chinese,Big Weekends,Big Morning,Big Afternoon,Big Evening,Little BlackorAfricanAmerican,Little Hispanic-PuertoRican,Little Asian,Little Asian-Other,Little Asian-Vietnamese,Little Hispanic,Little Hispanic-OtherLatinxorSpanishorigin,Little Other,Little AmericanIndianorAlaskaNative,Little WhiteorCaucasian,"Little Hispanic-Mexican,MexicanAmerican,Chicano",Big Home = Little Home,Same County,Same State,Same Zip,Has Rationale for Match,Big Age,big_occupation_category_Agriculture & Natural Resources,"big_occupation_category_Arts, Media & Entertainment",big_occupation_category_Business & Finance,big_occupation_category_Education,"big_occupation_category_Government, Law & Protective Services",big_occupation_category_Human & Social Services,big_occupation_category_Labor & Skilled Trades,big_occupation_category_Medical & Health Services,big_occupation_category_Not in Labor Force / Other,"big_occupation_category_Retail, Service & Hospitality",big_occupation_category_Technology & Engineering,Program Type_Community,Program Type_Site,Program Type_Site Based Facilitated,Program Type_Site Based Plus,match_length,net_sentiment,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,mean_cadence
a1v2J0000028pRvQAI,0032J00003PLe29QAD,0032J00003PhDOI,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,172.3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,40,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,318,325,7,0,333,3,24,164,10,90,261,27.3333333333333
a1v2J0000028pRvQAI,0032J00003PLe29QAD,0032J00003PhDOI,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,172.3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,40,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,318,325,7,0,333,3,24,164,10,90,261,27.3333333333333
a1v2J000002uR0JQAU,0032J00003PfZ6OQAV,0032J00003PgoV1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,444.5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,TRUE,65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,46.1,1928,2369,441,271,2316,265,340,1959,1014,1265,1377,72.7894736842105
a1v2J0000027NsOQAU,0032J00003PLeoRQAT,0032J00003Ph0MT,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,99.8333333333333,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,FALSE,45,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6.2,48,73,25,5,75,9,27,47,9,36,64,34.4
a1v2J0000027dtOQAQ,0032J00003PLeoRQAT,0032J00003Ph14N,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1093.83333333333,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,TRUE,61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,85.6,14310,14888,578,1501,11777,281,2126,7859,388,2959,11632,73.0285714285714
a1v2J0000028enKQAQ,0032J00003PfZ6QQAV,0032J00003Ph14j,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,347.5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,TRUE,29,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,28.3,1053,1279,226,62,1418,13,440,1082,139,654,1202,64.3076923076923
a1v2J000002ACUBQA4,0032J00003PfZ6RQAV,0032J00003PhDlV,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,195.727272727273,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,TRUE,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13.1,557,641,84,35,1038,23,97,304,76,126,532,35
a1v2J000002uTnjQAE,0032J00003PfZ6SQAV,0032J00003PhdTI,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,809.052631578947,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE,35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,71,1110,1745,635,393,2377,181,357,1459,530,612,1402,112.166666666667
a1v2J0000027tNzQAI,0032J00003PLepcQAD,0032J00003PgPRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,729.166666666667,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,FALSE,36,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,64.8,3433,3787,354,251,4553,91,299,2455,354,828,3278,84.6521739130435
a1v2J0000028PciQAE,0032J00003PfZ6UQAV,0032J00003PhdUT,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,974.045454545455,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,TRUE,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,68.6,1976,2249,273,190,2081,113,334,1282,159,714,1875,96.3809523809524
