Match ID 18Char,Big Age,big_occupation_category_Agriculture & Natural Resources,"big_occupation_category_Arts, Media & Entertainment",big_occupation_category_Business & Finance,big_occupation_category_Education,"big_occupation_category_Government, Law & Protective Services",big_occupation_category_Human & Social Services,big_occupation_category_Labor & Skilled Trades,big_occupation_category_Medical & Health Services,big_occupation_category_Not in Labor Force / Other,"big_occupation_category_Retail, Service & Hospitality",big_occupation_category_Technology & Engineering,Program Type_Community,Program Type_Site,Program Type_Site Based Facilitated,Program Type_Site Based Plus
a1v2J0000028pRvQAI,40,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000002uR0JQAU,65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000027NsOQAU,45,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000027dtOQAQ,61,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028enKQAQ,29,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J000002ACUBQA4,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uTnjQAE,35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027tNzQAI,36,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000028PciQAE,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002esTYQAY,38,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028GltQAE,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J000002uRlgQAE,41,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027UAeQAM,31,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
a1v2J0000027ogFQAQ,32,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028DktQAE,38,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
a1v2J000002uUBsQAM,27,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000028MtYQAU,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028FvmQAE,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000281ZgQAI,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J000002ACf1QAG,47,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027tYAQAY,36,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002fJvrQAE,27,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000003tjssQAA,50,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028rRMQAY,39,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027ViNQAU,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J000003m4NhQAI,28,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002ADm5QAG,32,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000028FQ1QAM,38,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000027XXAQA2,63,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000027ui5QAA,39,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J000002852lQAA,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028MCPQA2,28,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000284lkQAA,35,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000028HBzQAM,49,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000028f1UQAQ,33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002AFgbQAG,37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000285GPQAY,60,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J0000028BTsQAM,36,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
a1v2J0000028f5wQAA,39,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002AEWgQAO,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000028TBiQAM,31,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000038WA9QAM,35,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027yFzQAI,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028elqQAA,50,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000027Yo4QAE,41,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027vAsQAI,62,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
a1v2J0000027bhcQAA,65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
a1v2J0000027aW3QAI,39,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
a1v2J0000027b6OQAQ,37,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J0000028DERQA2,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028IusQAE,39,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a1v2J000002AF8tQAG,39,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J00000283VbQAI,42,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028AldQAE,34,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000038CVBQA2,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J00000284cZQAQ,33,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
a1v2J0000028SvNQAU,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
a1v2J0000028MX5QAM,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
a1v2J000002uRJ9QAM,36,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
